'dataset_directory', 'NUM_INPUT', 'NUM_HIDDEN', 'NUM_OUTPUT', 'BATCH_SIZE', 'INPUT_FRAME_TIMESTEP', 'INPUT_SCALE', 'NETWORK_SCALE', 'NUM_EPOCH', 'NUM_FRAMES', 'verbose', 'debug', 'record_all_hidden_spikes', 'lr', 'dt', 'reg_lambda_lower', 'reg_lambda_upper', 'reg_nu_upper', 'recurrent', 'evaluate', 'input_hidden_w_mean', 'input_hidden_w_sd', 'hidden_hidden_w_mean', 'hidden_hidden_w_sd', 'hidden_output_w_mean', 'hidden_output_w_sd', 'aug_combine_images', 'aug_swap_pixels', 'aug_swap_pixels_kSwap', 'aug_swap_pixels_pSwap', 'aug_swap_pixels_tSwap', 'cross_validation', 'cross_validation_run_all', 'sweeping_suffix', 'output_dir', 'model_description', 'accuracy'
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,1,10,100,True,True,False,0.01,1,1e-10,1e-10,20,False,False,0.0,4.0,0.0,0.4,3.0,1.5,True,False,1,0.2,0.1,False,True,,SC_gpu_mem_test,SC_run,0.43109958024847606
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,1,25,100,True,True,False,0.01,1,1e-10,1e-10,20,False,False,0.0,4.0,0.0,0.4,3.0,1.5,True,False,1,0.2,0.1,False,True,,SC_gpu_mem_test,SC_run,0.48597664297215015
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,1,50,100,True,True,False,0.01,1,1e-10,1e-10,20,True,False,0.0,4.0,0.0,0.0,3.0,1.5,True,False,1,0.2,0.1,False,True,,SC_recurrent_test,SC_run,0.01580571902662645
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,1,10,100,True,True,False,0.01,1,1e-10,1e-10,20,False,False,0.0,4.0,0.0,0.0,3.0,1.5,True,False,1,0.2,0.1,False,True,,SC_record_test,SC_run,0.428462950072771
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,1,10,100,True,True,False,0.01,1,0,0,0,False,False,0.0,4.0,0.0,0.0,3.0,1.5,True,False,1,0.2,0.1,False,True,,SC_record_test_regOff,SC_run,0.43072693651697636
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,0.001,10,100,True,True,False,0.01,1,0,0,0,False,False,0.0,4.0,0.0,0.0,3.0,1.5,True,False,1,0.2,0.1,False,True,,SC_test,SC_run,0.015267175572519083
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,0.001,10,100,True,True,False,0.01,1,0,0,0,False,False,0.0,4.0,0.0,0.0,3.0,1.5,True,False,1,0.2,0.1,False,True,,SC_test,SC_run,0.014925373134328358
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,1,10,100,True,True,False,0.01,1,0,0,0,False,False,0.0,4.0,0.0,0.0,3.0,1.5,True,False,1,0.2,0.1,False,True,,SC_test,SC_run,0.42958088126726995
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,0.001,10,100,True,True,False,0.01,1,0,0,0,False,False,0.0,4.0,0.0,0.0,3.0,1.5,True,False,1,0.2,0.1,False,True,,SC_test,SC_run,0.08270676691729323
~/data/rawSC/rawSC_80input/,80,512,35,256,20,0.0009,0.04,10,100,True,True,False,0.01,1,0,0,0,False,False,0.0,4.0,0.0,0.0,3.0,1.5,True,False,1,0.2,0.1,False,True,,SC_test,SC_run,0.16238112011271574
